context,domain,team_id,metric,r,ci_lower,ci_upper,p_value,n_seconds,silence_pct,source_file
submarine_less_experienced,submarine,T4S3-Transcript,rmse,0.5044649348753313,0.4840680197408121,0.5243139418215431,0.0,5275,39.12797281993205,T4S3-Transcript.xlsx
submarine_less_experienced,submarine,T5S5-Transcript,entropy,0.9106033966549408,0.9051344368272052,0.9157710124155009,0.0,3969,45.5026455026455,T5S5-Transcript.xlsx
submarine_less_experienced,submarine,T5S5-Transcript,pct_det,0.7443251069125453,0.7301207172486324,0.7578865065434546,0.0,3969,45.5026455026455,T5S5-Transcript.xlsx
submarine_less_experienced,submarine,T5S5-Transcript,rmse,0.47949121453696075,0.45509419273161983,0.503168877086008,7.110023496800022e-236,3945,45.5026455026455,T5S5-Transcript.xlsx
surgical_student,surgical,J10T3Output-Cz_Seq,entropy,0.7760020793123643,0.7509362680311112,0.7988350879844373,1.6691196950835349e-249,1065,26.76056338028169,J10T3Output-Cz_Seq.xls
surgical_student,surgical,J10T3Output-Cz_Seq,pct_det,0.909491025912059,0.8985092695525159,0.9193349947077306,0.0,1065,26.76056338028169,J10T3Output-Cz_Seq.xls
surgical_student,surgical,J10T3Output-Cz_Seq,rmse,0.5484606863621315,0.5045355358907907,0.5895540247614629,8.755176943509167e-88,1042,26.76056338028169,J10T3Output-Cz_Seq.xls
surgical_student,surgical,J11T1-OutputsT4,entropy,0.9245440767028599,0.9182507099474155,0.930370542605131,0.0,2213,23.181201988251242,J11T1-OutputsT4.xls
surgical_student,surgical,J11T1-OutputsT4,pct_det,0.9152576962619591,0.908226737037106,0.9217720799712708,0.0,2213,23.181201988251242,J11T1-OutputsT4.xls
surgical_student,surgical,J11T1-OutputsT4,rmse,0.5614667907519979,0.5320943282254084,0.5894894557644813,8.98012625260684e-194,2190,23.181201988251242,J11T1-OutputsT4.xls
surgical_student,surgical,J11T2-OutputsT4,entropy,0.8595868578382336,0.8468230463357568,0.871361178502364,0.0,1746,31.38602520045819,J11T2-OutputsT4.xls
surgical_student,surgical,J11T2-OutputsT4,pct_det,0.6382664460328308,0.6096077654392068,0.6652588162741743,3.284326887563787e-218,1746,31.38602520045819,J11T2-OutputsT4.xls
surgical_student,surgical,J11T2-OutputsT4,rmse,0.2727525022423767,0.2284715309289414,0.3159072660267346,3.861044472623038e-31,1723,31.38602520045819,J11T2-OutputsT4.xls
surgical_student,surgical,J1S2-Transcript,entropy,0.8995696275979481,0.8919642270504242,0.9066660424499061,0.0,2594,30.146491904394757,J1S2-Transcript.xlsx
surgical_student,surgical,J1S2-Transcript,pct_det,0.7924856739617143,0.7777199235929693,0.8063773889280975,0.0,2594,30.146491904394757,J1S2-Transcript.xlsx
surgical_student,surgical,J1S2-Transcript,rmse,0.5467530991539686,0.5190666257476877,0.5732934281171663,2.302375869398654e-212,2571,30.146491904394757,J1S2-Transcript.xlsx
surgical_student,surgical,J4S1-Transcript,entropy,0.8642014782636853,0.8541254080292191,0.8736289952765237,0.0,2595,30.481695568400767,J4S1-Transcript.xlsx
surgical_student,surgical,J4S1-Transcript,pct_det,0.5074079191460383,0.47826738822018355,0.5354323496444636,2.642128691382458e-178,2595,30.481695568400767,J4S1-Transcript.xlsx
surgical_student,surgical,J4S1-Transcript,rmse,0.45371138132052974,0.4224697774502088,0.48387616578374804,8.20709908364188e-136,2572,30.481695568400767,J4S1-Transcript.xlsx
surgical_student,surgical,J5S2BatchUtt-CzP0,entropy,0.9152333486274292,0.9091183300141744,0.9209539511143141,0.0,2898,28.191856452726014,J5S2BatchUtt-CzP0.xls
surgical_student,surgical,J5S2BatchUtt-CzP0,pct_det,0.8738092397585042,0.8649166778289564,0.8821533947313666,0.0,2898,28.191856452726014,J5S2BatchUtt-CzP0.xls
surgical_student,surgical,J5S2BatchUtt-CzP0,rmse,0.5868038584256909,0.5623098761235017,0.6102690501958318,1.1581004425229656e-284,2875,28.191856452726014,J5S2BatchUtt-CzP0.xls
surgical_student,surgical,J6S1Batch-CzP0,entropy,0.842607743036301,0.8288358980854709,0.8553591439080468,0.0,1843,19.696147585458494,J6S1Batch-CzP0.xls
surgical_student,surgical,J6S1Batch-CzP0,pct_det,0.8809339018043489,0.8702795100465133,0.8907643216787793,0.0,1843,19.696147585458494,J6S1Batch-CzP0.xls
surgical_student,surgical,J6S1Batch-CzP0,rmse,0.6209886854014938,0.5919304756435755,0.6484346577283305,1.2532607459049605e-210,1820,19.696147585458494,J6S1Batch-CzP0.xls
surgical_student,surgical,J7S1Batch-CzP0,entropy,0.8383713807966372,0.8258801445663052,0.850040102404897,0.0,2330,17.72532188841202,J7S1Batch-CzP0.xls
surgical_student,surgical,J7S1Batch-CzP0,pct_det,0.7271176745313792,0.7073968631380756,0.7457073029754213,0.0,2330,17.72532188841202,J7S1Batch-CzP0.xls
surgical_student,surgical,J7S1Batch-CzP0,rmse,0.5540402108613623,0.5251030586233699,0.5816977388042467,3.141752894448553e-197,2307,17.72532188841202,J7S1Batch-CzP0.xls
