meeting_id,quality_label,entropy_mean,entropy_sd,entropy_min,entropy_max,pct_det_mean,pct_det_sd,pct_det_min,pct_det_max,rmse_mean,rmse_sd,rmse_min,rmse_max,rmse_coverage_pct
2024.12.16startup_b,include,1.0981407675142294,0.45363115217935907,-0.0,1.9839020752860699,96.17803084926254,2.7225527347440117,84.8779207140982,99.73351099267155,0.41780860522555113,0.2453805265273655,0.020027809693216273,1.8615658381571902,99.5647236941711
2024.12.23startup_a,include,0.8719560535069093,0.4593302526927241,-0.0,1.919083984380127,98.03063956925641,1.5919336766389443,88.31439833062834,99.87378790210866,0.3032246660958258,0.21584756623101653,0.0010200234213935705,1.4554524042777952,99.56936903201648
2024.12.23startup_b,include,0.8833701418077993,0.4682343312620291,-0.0,1.9657512112576279,97.40381782779838,1.5704796999916724,89.96891191709845,99.93246893571043,0.3397613488847023,0.2145588781088222,1.4210854715202004e-14,1.310039133186807,99.58272859216255
2025.01.06startup_a,include,0.9592076995224214,0.44907373630384045,-0.0,1.582267169313773,96.73227412874157,1.7112654221827788,90.43328220858896,99.95093343302413,0.3787907791055605,0.23842117798311846,0.0,2.0191661833024814,99.59542656112576
2025.01.06startup_b,include,0.8367689573874837,0.4814290595638099,-0.0,1.583393820970492,97.92249393099253,1.4097106696445296,92.75778000860461,99.99778516057586,0.3032120918254216,0.20932298468366492,0.0,1.4051806586062487,99.60663588164871
2025.01.13startup_a,include,0.7738853059453357,0.4149558660078739,-0.0,1.9158582303981526,98.3430505433065,0.9208174075263711,95.5116588135798,99.84124650889314,0.26596245598632795,0.18674095947933833,0.0,1.1523768535602543,99.57556744786861
2025.01.13startup_b,include,0.8673273080131996,0.4878015064208685,-0.0,1.9738893130618016,98.3993241749619,1.1384712048306564,94.04828747894442,99.93380406001765,0.27321310013307615,0.17272003554570028,2.842170943040401e-14,1.048577728646181,99.59328028293545
2025.02.10startup_b,include,0.8994031163138081,0.4589363886326628,-0.0,1.584576851106354,97.80054024135785,1.5302168522671193,90.66539923954373,99.99778516057586,0.3030564490593345,0.2072027171972413,1.4210854715202004e-14,1.3916579248753098,99.5751754710011
2025.02.24startup_a,include,0.8049552532265846,0.4938925272385851,-0.0,1.9794671013740042,98.49511067874101,1.02146309039552,93.99629727585295,99.99108138238573,0.25507438040208463,0.1546250434439158,4.263256414560601e-14,0.9087958742445148,99.55191895577636
2025.02.24startup_b,include,0.8000749699462831,0.43805215899125227,-0.0,1.7769013717362383,98.25605889379558,1.2699279698166785,89.57528957528957,99.96754543638906,0.27224218055671207,0.1891003277853648,1.4210854715202004e-14,1.2665286656898012,99.55121951219512
2025.03.02startup_a,include,0.7669541702806325,0.49910121369773264,-0.0,1.8885189907483602,98.84303754157976,1.2799018700051108,92.6518001074691,99.99526515151516,0.2121247783683243,0.16462029494027305,1.4210854715202004e-14,0.9104311758851447,99.56265449705268
2025.03.17startup_a,include,0.8349263514724254,0.4779881161784024,-0.0,1.994578053368883,98.38382816102143,1.233032573878034,92.91107382550335,99.96162995932775,0.25918241307837925,0.18753907079249846,0.0,1.6262374324730664,99.56373292867981
2025.03.17startup_b,include_with_caution,0.9740392392275853,0.47376440724372565,-0.0,1.9476572242722625,96.7158501160303,2.3876101488655572,89.38170556354386,99.89333749577253,0.3742417977434378,0.22617289665886256,0.0,1.3855321388902797,99.63802329241422
2025.03.24startup_b,include,1.1027382752204473,0.48258867968184715,-0.0,1.9994246030975857,97.1225837883039,1.849840518074657,92.10858585858585,99.77925919385457,0.3682625351478793,0.20999116312633304,2.842170943040401e-14,1.1777054056657206,99.56398104265402
2025.03.25startup_a,include_with_caution,0.7589982574086277,0.4258289736704241,-0.0,1.9358358722930817,98.5064716307678,1.373789335412077,93.4885290148448,99.94424698585267,0.25260865605251254,0.18715221383679972,0.0,1.0544238802880708,99.55034213098729
2025.03.31startup_a,include_with_caution,0.809406870760306,0.47896104418936924,-0.0,1.8931199036346533,98.45113937865146,1.0924753960368787,94.81434058898847,99.99778516057586,0.248512257230408,0.18538905720831214,0.0,1.147224448588008,99.55148205928236
2025.03.31startup_b,include_with_caution,0.7655274934060622,0.4941479804019672,-0.0,2.2285803349611784,98.73373387582916,1.006464705958342,94.79271600154979,99.97497611356295,0.2263407428458378,0.1634176688314203,0.0,0.8468984239850244,99.63642111919064
2025.04.07startup_a,include,0.7443150662664512,0.39696089960055914,-0.0,1.7322208107835513,97.74510030255067,1.59984650945542,91.89343901365038,99.98877715927456,0.29693899324261047,0.1902718715059306,0.0,1.0611175750680388,99.61233777178494
2025.04.07startup_b,include_with_caution,1.0797098959054323,0.4604360020011413,-0.0,1.9930989183625956,96.49481139205308,1.7656888640627848,88.5833831440526,99.52468007312615,0.4002821014986878,0.22304934912776136,0.0088307707049432,1.6903152705602174,99.64522597562858
2025.04.14startup_a,include_with_caution,0.6634255041068355,0.46791536069289813,-0.0,1.5822671693137729,98.4116149456942,1.2508940638585617,93.75146541617819,99.99778516057586,0.2668715625393898,0.20041634929016292,0.0,1.2507641981772186,99.63052208835342
2025.04.14startup_b,include,0.8104902176150356,0.48617096924829867,-0.0,1.7716486830601688,98.01995046813404,1.1425719019721943,94.41531798495555,99.98675566857385,0.29699656940572455,0.19172628330124705,0.0,1.181746150537073,99.5583717357911
