method,meeting_id,metric_x,metric_y,r,p_value,n
per_meeting,2025.03.31startup_a,entropy,pct_det,-0.43027555082266233,4.549253690531566e-238,5128
per_meeting,2025.03.31startup_a,entropy,rmse,0.2279981576628673,1.0245961243008125e-61,5105
per_meeting,2025.03.31startup_a,pct_det,rmse,-0.36276044119706047,2.739286920762146e-162,5105
per_meeting,2025.03.31startup_b,entropy,pct_det,-0.4469938663941872,5.474e-320,6326
per_meeting,2025.03.31startup_b,entropy,rmse,0.2842579134355921,4.4232540027731187e-119,6303
per_meeting,2025.03.31startup_b,pct_det,rmse,-0.48414770712957034,0.0,6303
per_meeting,2025.04.07startup_a,entropy,pct_det,-0.4357978788940538,3.006485289887889e-283,5933
per_meeting,2025.04.07startup_a,entropy,rmse,0.26520748888343165,7.777078167302405e-97,5910
per_meeting,2025.04.07startup_a,pct_det,rmse,-0.40081183981092666,1.3210449454560182e-233,5910
per_meeting,2025.04.07startup_b,entropy,pct_det,-0.372831187229999,3.1819503672294034e-218,6483
per_meeting,2025.04.07startup_b,entropy,rmse,0.11129413609086296,2.7004765934645046e-19,6460
per_meeting,2025.04.07startup_b,pct_det,rmse,-0.33308534700443493,2.0642423264005397e-170,6460
per_meeting,2025.04.14startup_a,entropy,pct_det,-0.5238955776535781,0.0,6225
per_meeting,2025.04.14startup_a,entropy,rmse,0.23060116481233345,2.5512529934503407e-76,6202
per_meeting,2025.04.14startup_a,pct_det,rmse,-0.4574741517155204,0.0,6202
per_meeting,2025.04.14startup_b,entropy,pct_det,-0.4661861182016683,7.671619809287875e-291,5208
per_meeting,2025.04.14startup_b,entropy,rmse,0.13388034793714731,3.1437045068955694e-22,5185
per_meeting,2025.04.14startup_b,pct_det,rmse,-0.29198927646012063,6.201660753976274e-104,5185
pooled_sample_20pct,ALL,entropy,pct_det,-0.46955571840002186,0.0,37260
pooled_sample_20pct,ALL,entropy,rmse,0.2618653076083483,0.0,37260
pooled_sample_20pct,ALL,pct_det,rmse,-0.504304632405706,0.0,37260
per_meeting_average,ALL,entropy,pct_det,-0.3937988057720426,0.02046049895919151,34
per_meeting_average,ALL,entropy,rmse,0.17361464790928058,0.3287983257238919,34
per_meeting_average,ALL,pct_det,rmse,-0.4015899291753926,0.01782063800595088,34
