meeting_id,onset_second,offset_second,peak_second,peak_rmse,alpha_level,ucl,temporal_position,combined_delta,combined_delta_v2,pre_entropy,post_entropy,delta_entropy,z_delta_entropy,pre_pct_det,post_pct_det,delta_pct_det,z_delta_pct_det,pre_rmse,post_rmse,delta_rmse,z_delta_rmse,peak_entropy,entropy_ucl,entropy_lcl,entropy_exceeds_ucl,entropy_below_lcl,entropy_outside_limits,entropy_excess_over_ucl,entropy_excess_z,peak_pct_det,pct_det_ucl,pct_det_lcl,pct_det_exceeds_ucl,pct_det_below_lcl,pct_det_outside_limits,pct_det_excess_over_ucl,pct_det_excess_z,rmse_excess_over_ucl,rmse_excess_z,auxiliary_ucl_corroboration,joint_corroborated
2024.11.11startup_b,2728,2736,2732,0.922019493734835,0.05,1.9384144628627937,0.49154372076286434,0.28712464034485236,0.3963997360603535,1.6400593547986366,1.6258570751039099,0.01420227969472676,0.02632421273121347,91.68392756191334,90.24988131786505,1.4340462440482895,0.5479250679584913,0.8061879323271504,0.6189016243747064,0.18728630795244394,0.6149499274913558,1.966665652338337,1.9384144628627937,0.16325872764967098,True,False,True,0.02825118947554328,0.05236415122426784,90.67502668089648,100.52590128145582,91.91446134827967,False,True,True,-9.850874600559337,0.0,-0.03160569420912329,0.0,1,True
2024.11.11startup_b,4429,4442,4435,0.487113261741896,0.05,1.9384144628627937,0.7979489024829075,0.13413631960327177,0.24981911692079792,1.7441475367116983,1.8453226770447075,0.10117514033300923,0.18753016941536524,96.38570691801667,96.59702857915299,0.21132166113632422,0.0807424697911783,0.3292346741073938,0.4757820660846433,0.14654739197724947,0.4811847115558502,1.999424603097586,1.9384144628627937,0.16325872764967098,True,False,True,0.06101014023479223,0.11308352918145624,96.19491754528252,100.52590128145582,91.91446134827967,False,False,False,-4.330983736173295,0.0,-0.46651192620206233,0.0,0,False
2024.11.18startup_a,150,183,164,0.5465824129222754,0.05,1.403626217801714,0.030488938464398586,0.7107194207805788,0.9620361775906842,1.7792431548845706,1.4788485485890763,0.3003946062954943,0.6748521077277296,97.33133360090372,97.97958608747992,0.6482524865761974,0.746586733833428,0.6243710549235743,0.3619304002419129,0.26244065468166133,1.4646696912108947,1.872287461542425,1.403626217801714,-0.06097708946776803,True,False,True,0.46866124374071094,1.0528718609467986,97.79400341774118,100.18801423321499,97.33107889275301,False,False,False,-2.3940108154738056,0.0,0.01844387765181099,0.10293446576627979,1,False
2024.11.18startup_a,247,261,254,0.3083603096754237,0.05,1.403626217801714,0.047220672987544156,0.28216352490166974,0.5073768940483995,1.1063492037493188,1.1806333254411143,0.07428412169179555,0.1668831431849957,98.49382161272925,98.83891748580618,0.3450958730769287,0.39744390661834383,0.3295112227824746,0.15789122283528037,0.1716199999471942,0.957803632341859,1.4561112661478437,1.403626217801714,-0.06097708946776803,True,False,True,0.05248504834612966,0.1179103910598699,98.83515929983628,100.18801423321499,97.33107889275301,False,False,False,-1.3528549333787083,0.0,-0.21977822559504068,0.0,0,False
2024.11.18startup_a,698,731,714,0.0976935004899132,0.05,1.403626217801714,0.13273842721695484,0.01184002098335582,0.06459649776939147,1.499061198771723,1.5029539694248102,0.0038927706530871298,0.008745311750212686,97.43805483938334,97.4510224901069,0.012967650723552993,0.014934730216498954,0.24237478551767797,0.21189444169306915,0.03048034382460882,0.17010945134146277,1.9158582303981528,1.403626217801714,-0.06097708946776803,True,False,True,0.5122320125964388,1.1507558594653389,96.61435469710273,100.18801423321499,97.33107889275301,False,True,True,-3.5736595361122596,0.0,-0.4304450347805512,0.0,1,True
2024.11.18startup_a,815,831,823,0.087551247255317,0.05,1.403626217801714,0.15300241680609777,0.2959363884109617,0.5605246237528592,1.3408968366495175,1.1353233399191904,0.2055734967303271,0.4618315530770622,97.48586681013884,97.59878007638076,0.11291326624191811,0.13004122374486118,0.15040194212985622,0.34565543194218856,0.19525348981233234,1.089701094436654,1.554965937118681,1.403626217801714,-0.06097708946776803,True,False,True,0.151339719316967,0.3399925512094991,97.6027397260274,100.18801423321499,97.33107889275301,False,False,False,-2.5852745071875916,0.0,-0.4405872880151474,0.0,0,False
2024.11.18startup_a,3063,3135,3113,0.6215119235413472,0.05,1.403626217801714,0.5787321063394683,0.4572194911101118,0.6057895979015845,1.5470137808490692,1.4773111635190075,0.06970261733006167,0.156590555334605,98.51963967193022,99.17767055422831,0.6580308822980925,0.7578484268856186,0.33129660892899376,0.4930842749669803,0.16178766603798655,0.9029298114845301,1.583393820970492,1.403626217801714,-0.06097708946776803,True,False,True,0.17976760316877805,0.40385727092674367,98.48776223776224,100.18801423321499,97.33107889275301,False,False,False,-1.7002519954527457,0.0,0.09337338827088282,0.521112751878779,1,False
2024.11.18startup_a,4090,4112,4101,0.4155541633618503,0.05,1.403626217801714,0.762409369771333,0.2402286947164503,0.1959550543754982,1.1979159861468027,1.2279587424843221,0.030042756337519405,0.06749261475215003,99.06170905255286,98.70313659214948,0.35857246040338,0.4129647746807506,0.18090865061581493,0.2001540590619625,0.019245408446147583,0.10740777369359397,1.584576851106354,1.403626217801714,-0.06097708946776803,True,False,True,0.18095063330464,0.40651500966092896,99.09528616913876,100.18801423321499,97.33107889275301,False,False,False,-1.0927280640762262,0.0,-0.11258437190861409,0.0,0,False
2024.11.18startup_a,4536,4550,4543,0.1252087713756823,0.05,1.403626217801714,0.8445807770961146,0.14487922929990332,0.1566180078808682,1.1830204409103935,1.1517884736944306,0.031231967215962886,0.07016423884602899,97.831145432228,97.64047435204121,0.1906710801867888,0.21959421975377766,0.18965087589859964,0.22192053934471112,0.032269663446111485,0.18009556504279792,1.4561112661478437,1.403626217801714,-0.06097708946776803,True,False,True,0.05248504834612966,0.1179103910598699,97.83401946107784,100.18801423321499,97.33107889275301,False,False,False,-2.353994772137142,0.0,-0.4029297638947821,0.0,0,False
2024.11.18startup_b,150,161,151,0.5642872039709698,0.05,1.832093104814534,0.028282449896984453,,,1.9706745794934548,1.7282877330962745,0.24238684639718033,0.46454478813598316,95.32332209623046,95.48485112584721,0.16152902961675863,0.0937690068701339,0.5846833208411139,0.5313633291644806,0.05331999167663326,0.2540654611881833,1.973943243311487,1.832093104814534,0.11529757368327265,True,False,True,0.14185013849695305,0.27186187499279035,95.611685940353,100.46038288835788,94.79240189073968,False,False,False,-4.848696948004886,0.0,-0.09865827070386157,0.0,0,False
2024.11.18startup_b,316,335,321,0.2689321418967462,0.05,1.832093104814534,0.06012361865517887,0.07440576611226671,0.06056233373591859,1.6699134319384625,1.7113371434097704,0.041423711471307856,0.07939031987615586,94.7468085255175,94.62722166585306,0.11958685966443738,0.06942121234837755,0.2467410426187732,0.25364052326581976,0.006899480647046569,0.032875468983222376,1.8942465552913723,1.832093104814534,0.11529757368327265,True,False,True,0.0621534504768384,0.1191197538680428,94.5861893881696,100.46038288835788,94.79240189073968,False,True,True,-5.874193500188284,0.0,-0.39401333277808515,0.0,1,True
