second,edge_window,entropy,pct_det,rmse,entropy_smoothed,entropy_shift,entropy_shift_z,pct_det_smoothed,pct_det_shift,pct_det_shift_z,rmse_smoothed,rmse_shift,rmse_shift_z,valid_metric_count,composite_score,threshold,is_candidate,rank_within_meeting
1247,False,0.8916091590804429,99.58913187541418,0.0314087009559248,0.8916091590804429,-0.3157179890856725,-0.7754701486730023,99.58913187541418,-0.11419739053464184,-0.42401164105757616,0.0321838905970627,0.03250507180275253,0.2543141209538829,3,0.48459863689482047,2.272763042184392,False,
1248,False,0.8916091590804429,99.58913187541418,0.0347475902449177,0.8916091590804429,-0.31549703866636847,-0.7749274477169901,99.58913187541418,-0.11504016598945555,-0.4271408421887544,0.0347475902449177,0.045263366396410654,0.3541328352193314,3,0.5187337083750253,2.272763042184392,False,
1249,False,0.8916091590804429,99.58913187541418,0.038372602530823,0.8916091590804429,-0.31527608824706443,-0.7743847467609778,99.58913187541418,-0.11621039859589644,-0.4314858823473171,0.038372602530823,0.05784169145639266,0.45254349864172827,3,0.5528047092500077,2.272763042184392,False,
1250,False,0.8916091590804429,99.58913187541418,0.0421889753759939,0.8916091590804429,-0.3167894007490949,-0.7781017622986,99.58913187541418,-0.11972631028488934,-0.4445403617717936,0.0421889753759939,0.07019496030447653,0.5491933607639033,3,0.590611828278099,2.272763042184392,False,
1251,False,0.8916091590804429,99.58913187541418,0.0461284656006558,0.8916091590804429,-0.3206318668345177,-0.7875396716022894,99.58913187541418,-0.12331061824545486,-0.45784879459411887,0.0461284656006558,0.08230947978501259,0.6439752886786213,3,0.6297879182916765,2.272763042184392,False,
1252,False,0.8916091590804429,99.58913187541418,0.0501416224181202,0.8916091590804429,-0.32447433291994054,-0.7969775809059789,99.58913187541418,-0.12696376859824454,-0.4714128372474975,0.0501416224181202,0.0941756168791945,0.7368139152947173,3,0.6684014444827312,2.272763042184392,False,
1253,False,0.8916091590804429,99.58913187541418,0.0541919845882306,0.8916091590804429,-0.32831679900536326,-0.8064154902096682,99.58913187541418,-0.1306862047792805,-0.485234136197182,0.0541919845882306,0.10578307763352064,0.8276287024810413,3,0.7064261096292972,2.272763042184392,False,
1254,False,0.8916091590804429,99.58913187541418,0.0582520373850138,0.8916091590804429,-0.33215926509078575,-0.8158533995133569,99.58913187541418,-0.13447836729616824,-0.4993143270352978,0.0582520373850138,0.11712019122228375,0.9163283396938549,3,0.7438320220808365,2.272763042184392,False,
1255,False,0.8916091590804429,99.58913187541418,0.0623004713255019,0.8916091590804429,-0.3360017311762088,-0.8252913088170469,99.58913187541418,-0.13834069347684874,-0.5136550335479672,0.0623004713255019,0.1281870219198044,1.002913329804447,3,0.7806198907231536,2.272763042184392,False,
1256,False,0.8916091590804429,99.58913187541418,0.0663203333138172,0.8916091590804429,-0.3398441972616316,-0.8347292181207364,99.58913187541418,-0.14227361721106035,-0.5282578667553641,0.0663203333138172,0.13897586349567115,1.0873233805844276,3,0.8167701551535093,2.272763042184392,False,
