meeting_id,quality_label,meeting_duration_seconds,valid_rmse_seconds,valid_entropy_seconds,valid_pct_det_seconds,rmse_ucl,rmse_lcl,rmse_mean,rmse_sd,entropy_ucl,entropy_lcl,entropy_mean,entropy_sd,pct_det_ucl,pct_det_lcl,pct_det_mean,pct_det_sd,t_crit
2025.01.06startup_b,include,5847,5547,5547,5547,0.6422868023343379,-0.02831019198364182,0.30698830517534803,0.20381296209897423,1.632600201233521,0.08150473767275479,0.8570524694531378,0.47142078417473343,100.1170918977914,95.76949437049782,97.94329313414461,1.3213550575977047,1.645128424148826
2025.01.13startup_a,include,5419,5119,5119,5119,0.5781001759318839,-0.04348999167588752,0.2673050921279982,0.1889157935080245,1.454845047844951,0.09460297576988452,0.7747240118074178,0.4134093874071889,99.91264345261848,96.82211540829479,98.36737943045664,0.9392837729386814,1.645151408639025
2025.01.13startup_b,include,5655,5355,5355,5355,0.5430113351623125,-0.006395279190122727,0.2683080279860949,0.16697885548758334,1.6431352503893712,0.054793479667228695,0.8489643650283,0.482738074260189,100.26832752454781,96.73005589723634,98.49919171089208,1.075372103827021,1.6451382803773302
2025.02.10startup_b,include,5414,5114,5114,5114,0.632756296222857,-0.04025623880000545,0.29625002871142575,0.20454421773589976,1.6574202280515506,0.13808813697339628,0.8977541825124735,0.4617604842086232,100.18091183345805,95.6888546927513,97.93488326310468,1.3652410112088245,1.6451516998926665
2025.02.24startup_a,include,5133,4833,4833,4833,0.49289514355279923,0.0016640382975917078,0.24727959092519547,0.1492950250397226,1.6021976290787543,-0.02960732095922025,0.786295154059767,0.49593838474315566,100.0527439943513,97.21685477625986,98.63479938530558,0.8618838410179314,1.645169037362453
2025.02.24startup_b,include,5125,4825,4825,4825,0.5335369871963437,-0.01687344106750721,0.25833177306441824,0.16728075982812302,1.4998729329926097,0.0774039010426869,0.7886384170176483,0.43231684626166,100.03809149985557,96.78692817375389,98.41250983680473,0.9880936907955998,1.6451695605321988
2025.03.02startup_a,include,5259,4959,4959,4959,0.46345938615539417,-0.059459187303335104,0.20200009942602953,0.15892625920624154,1.5351777511795535,-0.06845645376154108,0.7333606487090062,0.48737910309964916,100.64201627164208,97.42452586926852,99.0332710704553,0.977864890701902,1.6451610201814673
2025.03.17startup_a,include,5272,4972,4972,4972,0.5226198554275051,-0.02882662363918828,0.24689661589415843,0.16759658836103974,1.6133018276073756,0.030845226562035144,0.8220735270847054,0.48094300649715505,100.2757734880857,96.76957110043021,98.52267229425796,1.065611225352154,1.6451602161457994
2025.03.17startup_b,include_with_caution,6354,6054,6054,6054,0.7358327864359394,2.2319770966450214e-05,0.36792755310345293,0.2236362682516732,1.7512643285853553,0.1786959412050123,0.9649801348951839,0.47795368733782767,100.61962914888525,93.18075601823989,96.90019258356257,2.2609107946987628,1.6451054035585029
2025.03.24startup_b,include,5275,4975,4975,4975,0.7003233189614314,0.021586351335653453,0.36095483514854243,0.20628296176522098,1.8690210082147605,0.2946700512884983,1.0818455297516294,0.47847957860417706,100.1846450240687,94.40496695561735,97.29480598984303,1.7565701691188587,1.6451600311960715
2025.03.25startup_a,include_with_caution,5115,4815,4815,4815,0.5504825180093537,-0.04931714618122718,0.25058268591406324,0.18229106569476233,1.4512050187153247,0.07293395574105754,0.7620694872281911,0.4188840305952568,100.58469993245929,96.60615760402753,98.59542876824341,1.2091582644352827,1.6451702169400795
2025.03.31startup_a,include_with_caution,5128,4828,4828,4828,0.55704119574594,-0.04588381308239625,0.25557869133177186,0.18324101517153116,1.567639437855758,0.06319083773442935,0.8154151377950938,0.4572321345491101,100.15561906221633,96.78025507149108,98.46793706685371,1.0258408843180455,1.6451693641402845
2025.03.31startup_b,include_with_caution,6326,6026,6026,6026,0.4936341497200312,-0.040038094536299196,0.226798027591866,0.16219990022183753,1.5416848913295513,-0.036916804177802964,0.7523840435758742,0.47978706079818606,100.42373446150714,97.14148499244322,98.78260972697518,0.9975795858134187,1.6451065738216784
2025.04.07startup_a,include,5933,5633,5633,5633,0.6114069747001494,-0.02065175355061183,0.29537761057476875,0.19210060789015998,1.3627708425904919,0.08109570273337174,0.7219332726619319,0.38953749466549215,100.40552250618416,95.14781262357891,97.77666756488154,1.5979674346936013,1.6451242273323832
2025.04.07startup_b,include_with_caution,6483,6183,6183,6183,0.7701422269986902,0.033253770529169335,0.40169799876392975,0.2239646190982177,1.844570433324511,0.31977023756405165,1.0821703354442813,0.4634368906802168,99.47986114623087,93.6605376725628,96.57019940939684,1.7686836504858403,1.6451001489355
2025.04.14startup_a,include_with_caution,6225,5925,5925,5925,0.6024254087473643,-0.043783183762243105,0.2793211124925606,0.1964027463408492,1.4448003955335347,-0.050767057790057635,0.6970166688717385,0.4545491325486767,100.35328984863304,96.30954099365542,98.33141542114423,1.2290201489675545,1.6451108870650362
2025.04.14startup_b,include,5208,4908,4908,4908,0.6188116434469997,-0.022043603541748502,0.2983840199526256,0.19476938560384943,1.625708637675086,0.009083641351779748,0.8173961395134328,0.49132633112582447,99.96846003125093,96.15637780356697,98.06241891740895,1.1585719502900405,1.6451642156232233
