meeting_id,second,composite_score,threshold,rank_within_meeting,valid_metric_count,entropy_shift,pct_det_shift,rmse_shift,entropy_shift_z,pct_det_shift_z,rmse_shift_z,top_contributors
2024.10.14startup_a,1561,2.645228640911016,1.9749576644041948,1,3,-0.6984787253041403,-0.9743336370652997,0.44171423610248745,-1.865030533387812,-3.1574091400102318,2.9132462493350046,pct_det:decrease; rmse:increase; entropy:decrease
2025.01.06startup_a,727,2.449272299377771,2.0470389581394435,5,3,-1.0240004935039235,0.7864527197804705,-0.3142020729809252,-3.7403281747155517,1.7861692390892145,-1.8213194843285465,entropy:decrease; rmse:decrease; pct_det:increase
2025.01.06startup_a,2693,2.3031171607029943,2.0470389581394435,6,3,-0.8188509072544271,1.110180165988723,0.2409936062205807,-2.990985979718563,2.5214098857583442,1.3969556166320758,entropy:decrease; pct_det:increase; rmse:increase
2025.01.06startup_a,5006,2.220796395065148,2.0470389581394435,7,3,0.7430902435357529,-1.2042470992348058,0.20927246972111208,2.7142578464415243,-2.7350520518462336,1.2130792869076854,pct_det:decrease; entropy:increase; rmse:increase
2025.01.06startup_a,3503,2.1085478193711427,2.0470389581394435,8,3,0.34645776546224616,-1.0741073370157892,-0.45210040821909775,1.2654932783022792,-2.4394822938538163,-2.620667885957332,rmse:decrease; pct_det:decrease; entropy:increase
2025.01.06startup_b,5679,3.476091033899445,2.196648850133815,1,3,0.09666424126713957,-1.3491004285206145,0.83173357401635,0.3309132581692476,-3.8298725554108133,6.267487288118272,rmse:increase; pct_det:decrease; entropy:increase
2025.01.06startup_b,455,3.368967758389845,2.196648850133815,2,3,0.5476906773971295,-0.9681480596743626,-0.7277026452939253,1.8749240065469508,-2.748411908361064,-5.483567360261521,rmse:decrease; pct_det:decrease; entropy:increase
2025.01.06startup_b,3358,3.352693436266756,2.196648850133815,3,3,-0.15028258495637936,-1.3897597776410606,-0.7429305181256864,-0.5144663546944721,-3.9452977098509625,-5.598316244254833,rmse:decrease; pct_det:decrease; entropy:decrease
2025.01.06startup_b,3632,3.0978732320513074,2.196648850133815,4,3,0.6753930336680496,0.4981000477375943,0.7388417236443193,2.3120908661379307,1.4140234947304213,5.567505335285571,rmse:increase; entropy:increase; pct_det:increase
2025.01.06startup_b,3435,2.5888478831755375,2.196648850133815,5,3,0.38758698567433303,1.3846231431164995,-0.3329583483068574,1.326836796856869,3.9307156556340166,-2.5089911970357264,pct_det:increase; rmse:decrease; entropy:increase
2025.01.06startup_b,1886,2.5619070084964677,2.196648850133815,6,3,0.31211822627710184,1.0736982293599198,-0.4736527722096483,1.068482593329712,3.0480513492446106,-3.5691870829150805,rmse:decrease; pct_det:increase; entropy:increase
2025.01.06startup_b,2031,2.559056233778762,2.196648850133815,7,3,-0.7622149327455298,0.7943808469600953,-0.373267993854765,-2.6093105735245685,2.2551155866525456,-2.8127425411591727,rmse:decrease; entropy:decrease; pct_det:increase
2025.01.06startup_b,1459,2.4491803765530356,2.196648850133815,8,3,-0.16071162687599738,-0.8925941178252543,0.5657851372947511,-0.5501683702067756,-2.5339267875918785,4.263445971860452,rmse:increase; pct_det:decrease; entropy:decrease
2025.01.13startup_a,4890,4.341090635332598,2.2615999855635107,1,3,0.9656292198157084,-1.4716837424386995,-0.5764846576167105,2.6985668134896903,-6.243793036482662,-4.0809120560254435,pct_det:decrease; rmse:decrease; entropy:increase
2025.01.13startup_a,5188,3.5333282861438433,2.2615999855635107,2,3,0.23108624910355569,1.5211668998330197,-0.49448721069817536,0.6457982733824917,6.453731207743463,-3.500455377305575,pct_det:increase; rmse:decrease; entropy:increase
2025.01.13startup_a,1114,2.8803802418364506,2.2615999855635107,3,3,-0.5150132296367408,-1.082285695841719,-0.36871923027146386,-1.4392663161861428,-4.591725583638968,-2.6101488256842407,pct_det:decrease; rmse:decrease; entropy:decrease
2025.01.13startup_a,3390,2.6923413361178565,2.2615999855635107,4,3,-0.19764732079032965,0.6869882342741676,0.6512320199929761,-0.55234917265835,2.914629162240158,4.610045673455062,rmse:increase; pct_det:increase; entropy:decrease
2025.01.13startup_a,4491,2.5914747077835028,2.2615999855635107,5,3,0.2461822835892964,-0.9289527000138094,-0.4443090305829622,0.6879859545778585,-3.941192140885247,-3.145246027887403,pct_det:decrease; rmse:decrease; entropy:increase
2025.01.13startup_a,4681,2.511939873815232,2.2615999855635107,6,3,0.9014139934312817,0.732403353786097,-0.26972912191339593,2.5191096519978147,3.107308199714423,-1.9094017697334587,pct_det:increase; entropy:increase; rmse:decrease
2025.01.13startup_a,4791,2.4894112808554905,2.2615999855635107,7,3,-0.1341052932428778,0.9924097670165679,-0.4072694371810343,-0.37477334615827057,4.210416283030678,-2.883044213377523,pct_det:increase; rmse:decrease; entropy:decrease
2025.01.13startup_a,167,2.4547979748176663,2.2615999855635107,8,3,0.43274432137987523,0.8452177680591717,-0.3629206920100763,1.2093559727042256,3.5859367487298948,-2.5691012030188785,pct_det:increase; rmse:decrease; entropy:increase
2025.01.13startup_a,3108,2.380939069908918,2.2615999855635107,9,3,0.8184824395196791,-0.95874861714411,-0.11129669376357176,2.287347465659156,-4.067604857509746,-0.787864886557852,pct_det:decrease; entropy:increase; rmse:decrease
